idx,mu0,mu1,fom_time_s,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
66,5.852505283033911,1.6937396090696741,0.0675501823425293,0.021918058395385742,0.9149681241802918,0.8973524916364387,0.8072985385503695
67,5.9500633656660264,1.045607742059395,0.20832204818725586,0.02606821060180664,0.7109610785738356,0.6644897181792575,0.9826920494908324
68,9.58973621109031,1.9646068738858005,0.09838199615478516,0.023406267166137695,1.0105508742806069,1.330652269591558,0.8618701653280895
69,7.849078749777834,1.1654599998448771,0.06688499450683594,0.020684003829956055,0.5301217827447985,0.6691664203890151,0.7194060868038047
70,4.917917475297788,1.9814139887090418,0.08698701858520508,0.02183818817138672,0.8526793243411668,1.4427065136688715,0.8308780758884956
71,9.38448190425233,2.1434561047521505,0.08035778999328613,0.021983861923217773,1.0769490437974727,1.1978274278756351,0.9171546085860859
72,4.7875450704638425,1.5339513261837872,0.09977293014526367,0.021404027938842773,0.8218809309345667,0.766055678872141,0.7859403248554627
73,3.382533073691267,2.0413448049430754,0.09965181350708008,0.0225982666015625,0.8629701323770144,1.3738266377460782,0.8551392936602025
74,4.445223457019963,1.0432241597606609,0.08024907112121582,0.024835824966430664,0.6964474361153459,0.6652087428693882,0.8754336541510006
75,8.280290049524142,2.7923215436795337,0.07579302787780762,0.02759075164794922,1.6091800097047617,0.9951078708007529,1.2261090318562917
76,1.4884659810862466,2.108072287078099,0.0924978256225586,0.025146961212158203,0.9189417927756793,1.2146616857358232,0.9197863403851866
77,1.1748998372408912,2.3444801860796236,0.08875274658203125,0.02354598045349121,0.9374209255017848,1.0298351550598737,0.9481875459873447
78,2.8842144600061825,2.3188452693838038,0.08035778999328613,0.026823997497558594,0.907835865216371,1.0404628955167263,0.9053043422291579
79,7.297246681440138,2.537294983835314,0.08458113670349121,0.02377915382385254,1.3212738663222359,1.001714281163336,1.1049566207994403
80,1.166635364963376,2.832023690275216,0.08936810493469238,0.021379709243774414,0.9875875687637283,0.9967647553415413,0.9776079721553198
81,2.37911850985932,1.0748251123523596,0.08665323257446289,0.027912139892578125,0.7885315745157305,0.6627900051721689,0.8313332461125071
82,5.593039446975686,1.7418445677248775,0.08681106567382812,0.024322032928466797,0.8949852178064107,0.951577155672933,0.8002920786853834
83,8.31491845701089,2.6165029441286034,0.0884852409362793,0.022304058074951172,1.4988018713312905,0.9960901229203136,1.1944777482856719
84,3.239675038944882,2.9057987901394897,0.08928322792053223,0.02244281768798828,1.0836640460619542,1.0046849094808767,0.9978273874953336
85,2.9800865975871744,2.030114258463429,0.09444713592529297,0.020926952362060547,0.8703162435053675,1.4255561157496193,0.8670193877751731
86,2.634054396619267,2.8720871400979266,0.08386397361755371,0.028276920318603516,1.0387284260525518,1.000804692671434,0.9832939398647454
87,1.7296173940619797,1.089821238784658,0.11517000198364258,0.02706003189086914,0.8415601698417833,0.6632571507632536,0.8611490677330346
88,4.407460894030076,2.9847511281116743,0.08412909507751465,0.027998924255371094,1.2106364175368085,1.012993120928677,1.0494899807800262
89,8.927604935923648,2.4972160389138987,0.14478302001953125,0.021394014358520508,1.4596597082058627,1.0049953299242618,1.1871104470380798
90,8.918845659697396,2.786893279395726,0.18141388893127441,0.02506089210510254,1.6908820752771427,0.9949177660510524,1.269877536020153
91,5.236697767825846,1.631858103661586,0.08673596382141113,0.02367115020751953,0.8868414844319136,0.8309808727507821,0.8068529408358678
92,7.742923077898782,2.323322526335522,0.10011625289916992,0.02553582191467285,1.196801615189353,1.0381352518613947,1.0336095833071297
93,3.7992115158497297,1.1889333361230305,0.07587409019470215,0.02648329734802246,0.6780863142891753,0.6702372086421232,0.7123231170771294
94,7.493217152355357,1.5249210318457294,0.0874319076538086,0.02092123031616211,0.8445233747708151,0.7614907298686684,0.7721632254328592
95,9.374450190284415,1.4819411500113695,0.07274794578552246,0.022359609603881836,0.8235181197686098,0.7284650291480019,0.7474227101673734
96,1.3153035308737118,2.662225344249812,0.089691162109375,0.021183252334594727,0.9773580206259965,0.9939062646042222,0.9603022339229436
97,1.6175147345824912,1.3585366163154782,0.07211923599243164,0.023274898529052734,0.8605123470559914,0.6297414800846307,0.874204006064219
98,6.033889636056351,2.749124081674929,0.06776809692382812,0.02221512794494629,1.3246676837318412,0.9941864131451997,1.0867693318785712
99,2.044703190574275,1.6206473458001895,0.08785104751586914,0.02827596664428711,0.9012165906034401,0.8206954631930191,0.876247067098534
100,7.796307898587658,2.943652852121935,0.0869910717010498,0.024159908294677734,1.62875812885314,1.0092817676769341,1.2264400652630125
101,5.057337743403189,1.2877950051025016,0.0934898853302002,0.02547597885131836,0.571989417447662,0.6444978375966437,0.6332830343682472
102,0.2379692483111953,1.4593120599977105,0.12328195571899414,0.02596902847290039,0.9821652710160524,0.7226275844266155,0.9823451168311458
103,1.4050399560865583,2.355317347225715,0.07872295379638672,0.022881031036376953,0.9314450682052428,1.0266305325216367,0.9429746518554432
104,1.3061417958224582,2.0126598632412662,0.08219218254089355,0.026315927505493164,0.9279301811625067,1.493031676072318,0.9316717064214164
105,6.973198112864576,2.1622332184418047,0.08787989616394043,0.02500605583190918,0.9577991925039575,1.1916662128273658,0.8655886734451752
106,2.0777789514345706,2.6082490523645254,0.0890040397644043,0.024899721145629883,0.9801566263879733,0.9966510209230985,0.9499473216584338
107,7.182530583196437,2.4779680078310835,0.08900094032287598,0.025265932083129883,1.2674819098501073,1.0069932113582654,1.0831661266720938
108,1.3974717404174013,1.2475076073006892,0.12160587310791016,0.020628929138183594,0.8726170365867624,0.6599930917274052,0.8785176167727111
109,9.282869254964426,1.7951563876498813,0.08609986305236816,0.019017934799194336,1.0998561355022158,0.9974480321056431,0.8790721499550547
110,3.079392048631304,1.9771680907030666,0.08694601058959961,0.02631092071533203,0.8659795505212143,1.4150808968162176,0.8671130059717
111,6.662355706359466,2.91124651409394,0.07523202896118164,0.025048017501831055,1.4538474178146101,1.005553374046379,1.1446170491736265
112,2.9358176461323446,2.8496168586240542,0.08380794525146484,0.024908065795898438,1.0544025090562468,0.9985687793006515,0.9857157525306914
113,0.34610896472393754,2.110396084653649,0.12531518936157227,0.021697044372558594,0.9782672694921751,1.1819476547570953,0.9791919166164446
114,6.376353605642743,1.2117948075015066,0.15967106819152832,0.03218579292297363,0.5091588345879207,0.6672087768408184,0.6073966800079309
115,1.4893620109327352,1.8382286386326077,0.08568501472473145,0.027108192443847656,0.9044914726629529,1.0272202999530982,0.913274013150131
116,9.665695930217499,2.1920851064687454,0.08630800247192383,0.025897979736328125,1.1602006506131421,1.1723739952329801,0.9761883808690104
117,9.336929893842091,2.6087218312259415,0.08563399314880371,0.02828502655029297,1.6101447560367679,0.9965624668816335,1.2612479796818525
118,4.727077855397386,2.5695268985043747,0.08362293243408203,0.026269912719726562,1.1060521883082717,0.9994128573226977,0.9907000524874835
119,0.2765841613721786,1.2182879935314699,0.1281881332397461,0.026009082794189453,0.9745034255397711,0.6528592498248871,0.974615518236391
